language,id,text,file,node,lineNumber,lock,comment
en,line:024857b,Red: Look what's up there?,Assets/Characters/Player/Red The Cat/Dialogue/RedSewers.yarn,RedHelpMe,31,5b4d0e5b,
en,line:bd928c,Zima: Yeah...,Assets/Characters/Player/Red The Cat/Dialogue/RedSewers.yarn,RedHelpMe,32,131a4246,
en,line:2095adc,"Red: Okay, I can do that. You stay here, I'll go.",Assets/Characters/Player/Red The Cat/Dialogue/RedSewers.yarn,RedHelpMe,33,4de0d217,
en,line:0e86e19,Zima: Thank you!,Assets/Characters/Player/Red The Cat/Dialogue/RedSewers.yarn,RedHelpMe,34,e4c2451b,
en,line:3685ad62,Red: Don't mention it.,Assets/Characters/Player/Red The Cat/Dialogue/RedSewers.yarn,RedHelpMe,35,294efd8b,
en,line:1035853,"Zima: Dammit, too high. I can't jump that high.",Assets/Characters/Player/Zima The Dog/Dialogue/SewersTooHigh.yarn,SewersTooHigh,4,1c9fc293,
en,line:abc3932,Zima: Maybe Red can help me find an alterantive way out?,Assets/Characters/Player/Zima The Dog/Dialogue/SewersTooHigh.yarn,SewersTooHigh,6,7f7412d7,
en,line:03853ef,Zima: I need to ask Red to help me out.,Assets/Characters/Player/Zima The Dog/Dialogue/SewersTooHigh.yarn,SewersTooHigh,10,029da334,
en,line:184953e,Zima: What am I supposed to do?..,Assets/Characters/Player/Zima The Dog/Dialogue/SewersTooHigh.yarn,SewersTooHigh,12,0b09736a,
en,line:0a1ac07,"Red: Is this the so called ""too high to jump on"" platform she was talking about?..",Assets/Characters/Player/Red The Cat/Dialogue/RedPlatformTooHighCommentary.yarn,RedPlatformTooHighCommentary,4,d4d7dd6e,
en,line:0193200,Red: Dogs... Shake my head.,Assets/Characters/Player/Red The Cat/Dialogue/RedPlatformTooHighCommentary.yarn,RedPlatformTooHighCommentary,5,baf872c4,
en,line:0e304d8,"Red: Hey, can I ask you something?",Assets/Characters/Player/Zima The Dog/Dialogue/Zima.yarn,ZimaGeneric,3,c1f9e101,
en,line:00910e6,Red: Thought it would be only fair since you've asked me similar question.,Assets/Characters/Player/Zima The Dog/Dialogue/Zima.yarn,ZimaGeneric,5,e00d9580,
en,line:0e304d9,"Zima: Yes, what do you want?",Assets/Characters/Player/Zima The Dog/Dialogue/Zima.yarn,ZimaGeneric,7,60acf004,
en,line:0e304d7,Red: How did you end up here?,Assets/Characters/Player/Zima The Dog/Dialogue/Zima.yarn,ZimaGeneric,8,d3dc99d2,Line metadata: lastline
en,line:239581a,"Red: Oh, it's nothing important. I need to get going.",Assets/Characters/Player/Zima The Dog/Dialogue/Zima.yarn,ZimaGeneric,10,2eb2a251,
en,line:03a0480,Zima: Sure. I'll be here if you need me.,Assets/Characters/Player/Zima The Dog/Dialogue/Zima.yarn,ZimaGeneric,11,d3ab16a3,
en,line:03a0474,Zima: What do you mean?,Assets/Characters/Player/Zima The Dog/Dialogue/Zima.yarn,ZimaTellYourStory,16,e12f6a7a,
en,line:03a0481,"Red: Well, you don't look like a stray dog. How did you end up in the outskirts so far away from the city?",Assets/Characters/Player/Zima The Dog/Dialogue/Zima.yarn,ZimaTellYourStory,17,4dc09441,
en,line:03a0482,"Zima: Oh. It's true, I have a family. A good one, in fact.",Assets/Characters/Player/Zima The Dog/Dialogue/Zima.yarn,ZimaTellYourStory,18,ec68fd2e,
en,line:03a0483,"Zima: One day, when they weren't home, some scum broke in to steal something.",Assets/Characters/Player/Zima The Dog/Dialogue/Zima.yarn,ZimaTellYourStory,19,06f28a73,
en,line:03a0484,"Zima: I thought I could stop it, so I rushed after him.",Assets/Characters/Player/Zima The Dog/Dialogue/Zima.yarn,ZimaTellYourStory,20,7a95158c,
en,line:03a0485,Zima: Soon I lost track of him and ended up in an unfamilliar place.,Assets/Characters/Player/Zima The Dog/Dialogue/Zima.yarn,ZimaTellYourStory,21,be5cc573,
en,line:03a0486,Zima: Then I was spotted by animal capture and shoved into the cage in the truck.,Assets/Characters/Player/Zima The Dog/Dialogue/Zima.yarn,ZimaTellYourStory,22,d5cd5bb4,
en,line:03a0487,Zima: We were driving for some time before my cage just fell out of truck into the river. I guess the doors weren't closed properly.,Assets/Characters/Player/Zima The Dog/Dialogue/Zima.yarn,ZimaTellYourStory,23,5a355e56,
en,line:03a0488,"Zima: When I stepped outside, I was under some kind of bridge. Alone and scared.",Assets/Characters/Player/Zima The Dog/Dialogue/Zima.yarn,ZimaTellYourStory,24,432273ca,
en,line:03a0489,"Zima: So, this is how I ended up here, in the middle of nowhere.",Assets/Characters/Player/Zima The Dog/Dialogue/Zima.yarn,ZimaTellYourStory,25,672364ac,
en,line:03a0490,"Zima: Nonetheless, I have to keep moving forward. I'm sure my family is waiting for me!",Assets/Characters/Player/Zima The Dog/Dialogue/Zima.yarn,ZimaTellYourStory,26,edf11de9,
en,line:03a0491,"Red: Damn, this is kind of heartbreaking. You sure had it rough.",Assets/Characters/Player/Zima The Dog/Dialogue/Zima.yarn,ZimaTellYourStory,27,7451fbbb,
en,line:0203582,"Zima: Hey, Red!",Assets/Characters/Player/Red The Cat/Dialogue/RedGeneric.yarn,RedGeneric,3,5e19a150,
en,line:0e30a24,"Red: Yeah, what's up?",Assets/Characters/Player/Red The Cat/Dialogue/RedGeneric.yarn,RedGeneric,4,458e76a9,
en,line:1937592,"Zima: You've asked me about myself, but I barely know you!",Assets/Characters/Player/Red The Cat/Dialogue/RedGeneric.yarn,RedGeneric,6,4c0369b1,
en,line:943719a,Zima: Mind to answer some questions?,Assets/Characters/Player/Red The Cat/Dialogue/RedGeneric.yarn,RedGeneric,7,bf8a4d4c,
en,line:0e3019b,Red: ..Do I have a choice?,Assets/Characters/Player/Red The Cat/Dialogue/RedGeneric.yarn,RedGeneric,8,7eef9bda,
en,line:001abc1,Zima: What's your deal?,Assets/Characters/Player/Red The Cat/Dialogue/RedGeneric.yarn,RedGeneric,10,1e9f8140,
en,line:190593a,Zima: I've got nothing.,Assets/Characters/Player/Red The Cat/Dialogue/RedGeneric.yarn,RedGeneric,12,646126fd,
en,line:1905c3b,Red: All right then.,Assets/Characters/Player/Red The Cat/Dialogue/RedGeneric.yarn,RedGeneric,13,d07b24ef,
en,line:19cbd14,Red: Huh? Is that your question?,Assets/Characters/Player/Red The Cat/Dialogue/RedGeneric.yarn,RedTellYourStory,18,12e7ff9a,
en,line:100aeb1,Zima: Yeah. Tell me about yourself!,Assets/Characters/Player/Red The Cat/Dialogue/RedGeneric.yarn,RedTellYourStory,19,5f6a8b3b,
en,line:1901300,Red: Well...,Assets/Characters/Player/Red The Cat/Dialogue/RedGeneric.yarn,RedTellYourStory,20,590499a4,
en,line:112a00a,"Red: Dunno. It's a trouble talking about myself, actually.",Assets/Characters/Player/Red The Cat/Dialogue/RedGeneric.yarn,RedTellYourStory,21,8.90E+12,
en,line:190001e,Red: I am just a cat.,Assets/Characters/Player/Red The Cat/Dialogue/RedGeneric.yarn,RedTellYourStory,22,390e47f0,
en,line:1910ace,"Red: I look like a cat, I think like a cat, I do things cats do.",Assets/Characters/Player/Red The Cat/Dialogue/RedGeneric.yarn,RedTellYourStory,23,450de3da,
en,line:05918ad,Red: That's just how it is. There's no deeper meaning.,Assets/Characters/Player/Red The Cat/Dialogue/RedGeneric.yarn,RedTellYourStory,24,6fed105f,
en,line:1905900,"Zima: Well, maybe some day you'll say more about yourself.",Assets/Characters/Player/Red The Cat/Dialogue/RedGeneric.yarn,RedTellYourStory,25,53980626,
en,line:119abca,Red: Maybe...,Assets/Characters/Player/Red The Cat/Dialogue/RedGeneric.yarn,RedTellYourStory,26,7d54c5e6,
